url,title,text
https://aib.ps/content/about-bank,لمحة عن البنك,"تأسس البنك الإسلامي العربي في العام 1995 وهو شركة مساهمة عامة، وباشر نشاطه المصرفي في مطلع العام 1996، ويقوم بممارسة الأعمال المصرفية وأعمال الإستثمار وفقاً لأحكام الشريعة الإسلامية من خلال المركز الرئيسي بمحافظة رام الله والبيرة وفروعه المنتشرة في فلسطين إضافة الى المكتب التمثيلي في الإمارات العربية المتحدة (إمارة دبي) والفرع المتنقل ""بنكي ع الطريق"" ليصل عدد فروعه الى واحد وثلاثون فرعاً ومكتباً بالإضافة إلى 64 صراف آلي منتشر في كافة محافظات الوطن، كما لايوجد للبنك أي شركات تابعة حتى تاريخ 31/12/2023.
بنك اسلامي وطني متميز، تقوده الرقمية والحداثة والاستدامة المصرفية والموارد البشرية المتميزة لتقديم الخدمة المصرفية المتوافقة مع الشريعة الإسلامية وذات الجودة العالية حيثما كان العملاء بطريقة آمنة.
تقديم حلول وخدمات مصرفية إسلامية عصرية شاملة وذات جودة عالية ومنافسة، ودعم وتطوير الحلول المبتكرة للأجيال القادمة والأعمال الريادية، انطلاقاً من قيمنا المتجذرة في عالم المال والأعمال والصيرفة الإسلامية والمساهمة في التنمية الاقتصادية وتحقيق مبدأ التكافل و التعاون والأهداف الاجتماعية الإسلامية."
https://aib.ps/content/chairmans-speech,كلمة رئيس مجلس الادارة,"كلمة رئيس مجلس الإدارةالسيدات والسادة المساهمون المحترمونالسلام عليكم ورحمة اللّه وبركاته،،،
بالأصالة عن نفسي ونيابة عن زملائي أعضاء مجلس الإدارة، يسعدني أن أقدم لكم التقرير السنوي للبنك الإسلامي العربي للعام 2024، والذي يعرض إنجازات البنك وبياناته المالية المدققة للسنة المنتهية في 31 كانون أول 2024. يأتي هذا التقرير في ظل تحديات استثنائية يمر بها أبناء شعبنا الفلسطيني بسبب الحرب القاسية التي تعرضت لها الضفة الغربية وقطاع غزة بشكل خاص، والتي ألقت بظلالها الثقيلة على الاقتصاد الوطني، وأثرت بشكل مباشر على القطاع المصرفي.
لقد كان عاماً مليئاً بالصعاب، إلا أنه كشف أيضاً عن قوة وعزيمة شعبنا، وصلابة مؤسساتنا، حيث أننا بفضل الله ثم بدعمكم وثقة عملائنا الاعزاء، نجح البنك في تحقيق العديد من الإنجازات التي تعكس قدرته على الصمود والنمو وواصل أداءه المتميز في تحقيق استقرار مالي قوي يعكس استراتيجيته القائمة على النمو المستدام مع الالتزام التام بمبادئ الشريعة الإسلامية. وليستمر البنك كأحد أكبر البنوك في السوق المصرفي الفلسطيني.
وعلى صعيد المؤشرات المالية، واصل البنك الحفاظ على قاعدة أصول متينة، مع استمرار ضبط المصاريف التشغيلية وتعزيز السيولة والجدارة الائتمانية. فيما استمرت محفظة التمويلات المباشرة عند مستويات قوية بلغت 1,104 مليون دولار، كما وصلت ودائع العملاء إلى 1,417 مليون دولار. وبلغ صافي الدخل حوالي 1.12 مليون دولار، مع الإشارة الى قيام البنك بتبني سياسة تحوطية متقدمة من خلال اخذ مخصصات ائتمانية كافية ووافية تصل إلى حوالي32 مليون دولار لمواجهة أية خسائر محتملة في الضفة وغزة، بما يعكس التزام البنك بالحفاظ على استقراره المالي وتعزيز قدرته على مواجهة التحديات المستقبلية بثقة ومرونة، إضافة إلى إدارة فعالة للمخاطر من خلال أخذ المخصصات اللازمة لمواجهة التحديات الاقتصادية.
خلال عام 2024، واصل البنك جهوده لتحقيق التحول الرقمي من خلال إطلاق مجموعة من المشاريع والمنتجات التي تعكس التزامه بتلبية احتياجات العملاء المتغيرة وتعزيز الشمول المالي. شملت هذه الإنجازات إطلاق تطبيق Soft POS الذي يحول الهواتف الذكية إلى نقاط بيع متكاملة، مما يتيح للتجار استخدام حلول دفع مبتكرة وسهلة. كما تم تعزيز خدمات التحويل الفوري عبر إطلاق منصة ""Iburaq""، لتمكين العملاء من إرسال واستقبال الحوالات بشكل فوري بين البنوك داخل فلسطين من خلال الموبايل بانك والخدمات المصرفية عبر الإنترنت. بالتوازي مع ذلك ايضا تم تفعيل منصة ""E-sadad""- التي انشأتها سلطة النقد والتي توفر إمكانية دفع الفواتير والأقساط والمدفوعات المختلفة للشركات والجهات الحكومية والجامعات والبلديات والنقابات، مما يعزز ويسهل من استخدام وسائل الدفع الالكتروني بدل الكاش وتشجيع التحول الرقمي.
وفي إطار تحسين تجربة العملاء والتسهيل على عملائنا وخصوصاً أهلنا في قطاع غزة باستخدام الخدمات الالكترونية، قدم البنك خدمة تتيح استخدام التطبيق البنكي دون الحاجة إلى شراء حزم إنترنت، كما تم الاستحواذ على مقسم مدفوعات جديد (Pay Way) لتحسين كفاءة عمليات الدفع والتحويل وتعزيز مرونة النظام المالي. وعلاوة على ذلك تم تنفيذ مشروع تصنيف البيانات الذي يعكس التزام البنك برفع مستوى الأمان وحماية بيانات العملاء والبنك على حد سواء. هذه المشاريع الطموحة تؤكد حرص البنك على تقديم حلول مبتكرة وشاملة تدعم رؤية الشمول المالي وتوسيع قاعدة العملاء وتلبية احتياجاتهم.
إيماناً منا بمسؤوليتنا تجاه مجتمعنا، ساهم البنك خلال العام 2024 أكثر من 410 ألف دولار لمبادرات المسؤولية الاجتماعية والاستدامة التي شملت عدة قطاعات هامة ومنها التعليم والصحة، بالإضافة إلى مبادرات مكافحة الفقر، ساعين من خلالها إلى إحداث أثر إيجابي في حياة أبناء شعبنا في مختلف مناطق الوطن. وفي ظل الظروف الإنسانية الصعبة التي يمر بها أهلنا في قطاع غزة، كان من أولوياتنا تقديم يد العون لهم، حيث وُجّه حوالي 70% من هذه المساهمات لدعم صمودهم من خلال مشاريع الإغاثة الطارئة والمساهمة في برنامج كفالة الأيتام. ويظل التزامنا بالمسؤولية الاجتماعية والاستدامة ليس مجرد شعار، بل هو جزء أساسي من هويتنا وقيمنا ونعمل جاهدين لتعزيز رفاهية المجتمع وتحقيق أثر إيجابي دائم.
إننا في البنك الإسلامي العربي نطمح دائماً إلى تحويل التحديات إلى فرص لتحقيق المزيد من التميز، ونسعى لتعزيز مكانتنا في القطاع المصرفي من خلال الاستمرار في تحسين الكفاءة التشغيلية، وتوسيع قاعدة عملائنا، والاستثمار في رأس المال البشري. كما نعتزم مواصلة دعم مجتمعنا وتعزيز الابتكار الرقمي بما يتماشى مع متطلبات السوق المتغيرة.
وفي الختام، أتوجه بخالص الشكر والتقدير للسادة سلطة النقد الفلسطينية، وهيئة سوق رأس المال الفلسطينية، ومراقب الشركات، وبورصة فلسطين، على تعاونهم ودعمهم المستمر. كما أشكر أعضاء هيئة الفتوى والرقابة الشرعية وجميع الموظفين والعاملين في البنك على تفانيهم وجهودهم الكبيرة لتحقيق هذه النتائج الطيبة.
ايماننا بأن الصمود الحقيقي يكمن في العمل والعطاء والاستمرار في التنمية والبناء رغم كل التحديات. وسيبقى البنك الإسلامي العربي ملتزماً بدوره كشريك فاعل في بناء مستقبل أفضل لوطننا. ونسأل الله أن يمن على شعبنا بالأمن والاستقرار، وأن يوفقنا جميعًا لخدمة وطننا ومجتمعنا بما يعزز من ازدهارنا وتقدمنا.

رشدي الغلايينيرئيس مجلس الإدارة"
https://aib.ps/content/board-of-directors,رئيس مجلس الإدارة، ممثل شركة بنك فلسطين,السيد/ رشدي محمود رشيد الغلاييني
https://aib.ps/content/board-of-directors,نائب رئيس مجلس الإدارة، ممثل صندوق الاستثمار الفلسطيني,الدكتور/ محمد محمود محمد نصر
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، ممثل شركة بنك فلسطين,السيد/ صقر محمود سليمان جندية
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، ممثل شركة بنك فلسطين,السيد/ وائل عبد اللطيف خليل الصوراني
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، ممثل شركة بنك فلسطين,السيد/ عبدالله قيس ثنيان الغانم
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، ممثل شركة اسواق للمحافظ الاستثمارية,السيد/ فواز محمود يعقوب نجار
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، عضو مستقل,الدكتور/ وليد فوزي يوسف برغوثي
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، ممثل شركة اسواق للمحافظ الاستثمارية,السيد/ محمد عوني محمد ابو رمضان
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، عضو مستقل,الدكتورة/ صفاء علي طه ناصر الدين
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، ممثل عن صغار المساهمين,السيدة/ سمر زهدي خليل صوالحي نخلة
https://aib.ps/content/board-of-directors,عضو مجلس الإدارة، عضو مستقل,السيد/ صائب ابراهيم محمد سمور
https://aib.ps/content/executive-management,مدير عام البنك الإسلامي العربي,السيد هاني صلاح  ناصر
