url,title,text
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع جنين,"العنوان: جنين، شارع حيفا
هذا الصراف موائم لذوي الاحتياجات الخاصة"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع الخليل,"العنوان: الخليل - دوار ابن رشد
هذا الصراف موائم لذوي الاحتياجات الخاصة"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع طولكرم,"طولكرم
يقبل الإيداع النقدي
هذا الصراف موائم لذوي الاحتياجات الخاصة"
https://aib.ps/content/branches-and-atms#branch-110,صراف برج رام الله - شارع النزهة,رام الله
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع القدس,القدس
https://aib.ps/content/branches-and-atms#branch-110,صراف مستشفى الهلال,الخليل
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع خانيونس,"خانيونس
يقبل الايداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف قلقيلية,شارع طولكرم
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع بيتونيا,"رام الله
يقبل الايداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع يطا,"الخليل
يقبل الايداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع غزة,"غزة
يقبل الايداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف الرمال,"غزة
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف الريحان,"رام الله والبيرة
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف الماصيون,"رام الله والبيرة
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف دوار الساعة,"رام الله والبيرة
يقبل الإيداع النقدي
هذا الصراف موائم لذوي الاحتياجات الخاصة"
https://aib.ps/content/branches-and-atms#branch-110,صراف دورا,"الخليل
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع الحرس,"الخليل
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع العيزرية,"القدس
يقبل الإيداع النقدي
هذا الصراف موائم لذوي الاحتياجات الخاصة"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع فيصل,"نابلس
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع نابلس,"نابلس
يقبل الإيداع النقدي
هذا الصراف موائم لذوي الاحتياجات الخاصة"
https://aib.ps/content/branches-and-atms#branch-110,صراف فرع اريحا,"اريحا
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,المستشفى الأهلي,الخليل
https://aib.ps/content/branches-and-atms#branch-110,صراف KFC الماصيون,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف البالوع,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف العطاري وعليان,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف النادي الثفافي,طولكرم
https://aib.ps/content/branches-and-atms#branch-110,صراف النفاع,جنين
https://aib.ps/content/branches-and-atms#branch-110,صراف بالتل,نابلس
https://aib.ps/content/branches-and-atms#branch-110,صراف برج الشيخ,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف بلازا مول,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف بلدية قلقيلية,قلقيلية
https://aib.ps/content/branches-and-atms#branch-110,صراف جاردنز الطيرة,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف رفيديا,نابلس
https://aib.ps/content/branches-and-atms#branch-110,صراف شركة الرويال,الخليل
https://aib.ps/content/branches-and-atms#branch-110,صراف عتيل,"طولكرم
يقبل الايداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف عنبتا,طولكرم
https://aib.ps/content/branches-and-atms#branch-110,صراف قباطية,جنين
https://aib.ps/content/branches-and-atms#branch-110,صراف مجمع نابلس,نابلس
https://aib.ps/content/branches-and-atms#branch-110,صراف مستوصف الرحمة,نابلس
https://aib.ps/content/branches-and-atms#branch-110,صراف مكتب الجامعة العربية الأمريكية,"جنين
يقبل الايداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف وسط البلد,بيت لحم
https://aib.ps/content/branches-and-atms#branch-110,مجمع السيارات - سوق المحطة,رام الله والبيرة
https://aib.ps/content/branches-and-atms#branch-110,صراف البيرة,"رام الله والبيرة
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,صراف مكتب نعلين,"رام الله والبيرة
يقبل الإيداع النقدي"
https://aib.ps/content/branches-and-atms#branch-110,فرع البيرة - كود 01,"العنوان: البيرة، شارع نابلس
الهاتف: 022405935"
https://aib.ps/content/branches-and-atms#branch-110,مكتب بير زيت- كود 01,"العنون: بيرزيت، البلدة القديمة، الشارع الرئيسي
الهاتف: 022811950"
https://aib.ps/content/branches-and-atms#branch-110,فرع غزة - كود 02,"العنوان: ميدان فلسطين بجانب معرض جوال
الهاتف: 082825955"
https://aib.ps/content/branches-and-atms#branch-110,فرع طولكرم - كود 03,"العنوان: طولكرم، جمال عبد الناصر
الهاتف: 092676311
"
https://aib.ps/content/branches-and-atms#branch-110,فرع جنين -كود 04,"العنوان: جنين، شارع حيفا
الهاتف: 042506601
"
https://aib.ps/content/branches-and-atms#branch-110,مكتب الجامعة العربية الأمريكية - كود 04,"العنون: الجامعة العربية الأمريكية
الهاتف: 042520213"
https://aib.ps/content/branches-and-atms#branch-110,فرع الخليل - كود 05,"العنوان: الخليل - دوار ابن رشد
الهاتف: 022254151"
https://aib.ps/content/branches-and-atms#branch-110,فرع خانيونس - كود 06,"العنون: خانيونس - شارع جلال
الهاتف: 082065540"
https://aib.ps/content/branches-and-atms#branch-110,فرع نابلس - كود 07,"العنوان: نابلس - شارع سفيان
الهاتف: 092336001"
https://aib.ps/content/branches-and-atms#branch-110,فرع بيت لحم - كود 08,"العنوان: بيت لحم - شارع القدس الخليل
الهاتف: 022777881"
https://aib.ps/content/branches-and-atms#branch-110,مكتب بيت لحم / هندازة - كود 08,"العنوان: مبنى ادارة المنطقة الصناعية/هندازة
الهاتف: 022730202"
https://aib.ps/content/branches-and-atms#branch-110,فرع قلقيلية - كود 09,"العنوان: قلقيلية - شارع طولكرم
الهاتف: 092944330"
https://aib.ps/content/branches-and-atms#branch-110,فرع يطا - كود 11,"العنوان: يطا - الشارع الرئيسي
الهاتف: 022279737
"
https://aib.ps/content/branches-and-atms#branch-110,فرع رام الله - كود 12,"العنوان: رام الله، دوار الساعة ، عمارة تفاحة
الهاتف: 022977061"
https://aib.ps/content/branches-and-atms#branch-110,مكتب لاكاسا/ الريحان - كود 12,"العنوان: رام الله،الريحان، مول لاكاسا
الهاتف: 022820466
وقت الدوام يوم السبت: 09:30 صباحاً - 3:30 عصراً"
https://aib.ps/content/branches-and-atms#branch-110,فرع الحرس - كود 13,"العنوان: الحرس - شارع أضواء المدينة
الهاتف: 022292930"
https://aib.ps/content/branches-and-atms#branch-110,فرع العيزرية - كود 14,"العنوان: العيزرية، مقابل البلدية
الهاتف: 022792272"
https://aib.ps/content/branches-and-atms#branch-110,فرع فيصل - كود 15,"العنوان: نابلس - شارع فيصل
الهاتف: 092372282"
https://aib.ps/content/branches-and-atms#branch-110,فرع عتيل - كود 16,"العنوان: عتيل - الشارع الرئيسي
الهاتف: 092669090"
https://aib.ps/content/branches-and-atms#branch-110,فرع النصيرات - كود 17,"العنوان: النصيرات، شارع صلاح الدين، مقابل مدخل البريج
الهاتف: 082553850"
https://aib.ps/content/branches-and-atms#branch-110,فرع الرمال - كود 18,"العنوان: حي الرمال-شارع الوحدة
الهاتف: 082883991/6"
https://aib.ps/content/branches-and-atms#branch-110,فرع بيتونيا - كود 19,"العنوان: رام الله، شارع يافا، عمار الوفاق
الهاتف: 022906110"
https://aib.ps/content/branches-and-atms#branch-110,مكتب نعلين - كود 19,"العنوان: بلدة نعلين
الهاتف: 022482091
"
https://aib.ps/content/branches-and-atms#branch-110,فرع دورا - كود 20,"العنوان: مدينة دورا، شارع يافا، مقابل معرض جوال
الهاتف: 022286175
"
https://aib.ps/content/branches-and-atms#branch-110,فرع الماصيون - كود 22,"العنوان: رام الله، الماصيون، مقابل فندق جراند بارك
الهاتف: 022977870"
https://aib.ps/content/branches-and-atms#branch-110,فرع اريحا - كود 23,"العنوان: أريحا - شارع قصر هشام
الهاتف: 022312140"
https://aib.ps/content/branches-and-atms#branch-110,فرع جنين,جنين
https://aib.ps/content/branches-and-atms#branch-110,فرع القدس - كود 24,"العنوان: القدس، ضاحية البريد، شارع العبور
الهاتف: 022353863"
https://aib.ps/content/branches-and-atms#branch-110,مكتب دبي التمثيلي,"العنوان: مركز دﺑﻲ المالي العالمي - (A) بارك تاورز - الطابق 4 - وحدة 413
الهاتف: 043330191"
https://aib.ps/content/branches-and-atms#branch-110,مكتب لاكاسا/ الريحان - كود 12,"العنوان: رام الله،الريحان، مول لاكاسا
الهاتف: 022820466
وقت الدوام يوم السبت: 09:30 صباحاً - 3:30 عصراً"
