url,title,text
https://aib.ps/content/business-services/73.html,الحسابات الجارية,يمنحك الحساب الجاري من البنك الإسلامي العربي القدرة على إدارة أموالك بسهولة ويسر، من خلال عمليات السحب والإيداع عبر الصراافات الآلية المنتشرة والفروع والخدمات الإلكترونية ويمنحك الحساب ميزات متعددة .
https://aib.ps/content/business-services/73.html,الحسابات الجارية - المزايا الرئيسية,"امكانية الدخول الى حسابك في أي وقت ومن أي مكان من خلال خدمة الصيرفة الإلكترونية.
رسائل قصيرة مجانية بإشعارات عن جميع الحركات المصرفية على الحساب.
الحصول على دفتر شيكات.
الحساب متوفر بجميع العملات.
تسديد فواتير الخدمات العامة (ماء، كهرباء، اتصالات، جوال، وطنية موبايل، حضارة)
خدمة تحويل الرواتب."
https://aib.ps/content/business-services/73.html,الحسابات الجارية - شروط فتح الحساب,"يحق للجميع فتح حساب عند بلوغ السن القانوني ( 18 عاماً)
ضرورة إبراز البطاقة الشخصية عند فتح الحساب
ضرورة اثبات طبيعة العمل لمدير الفرع"
https://aib.ps/content/business-services/73.html,الحسابات الجارية - الحكم الشرعي والأرباح,
https://aib.ps/content/business-services/719.html,حساب الودائع الاجلة,عن طريق الاستثمار في حساب الوديعة لأجل من البنك الإسلامي العربي، يمكنك زيادة مدخراتك من خلال الحصول على عائد ربحي على وديعتك ووفقاً لأحكام الشريعة الإسلامية  حيث يقوم هذا الحساب الاستثماري على صيغة المضاربة.
https://aib.ps/content/business-services/71.html,حسابات التوفير,حساب توفير يلبي احتياجات العملاء و رغباتهم و يتمتع ببساطته من حيث آلية فتح الحساب و متطلباته مما يجعل عملية الادخار سهلة و تجربة ممتعة من حيث استخدام الخدمات الالكترونية للتحكم بالحساب من خلال الانترنت البنكي و التطبيق البنكي، بالإضافة الى ان حساب التوفير هو خاضع لشروط احكام الشريعة الاسلامية
https://aib.ps/content/business-services/71.html,حسابات التوفير - مزايا الحساب,"تشارك حسابات التوفير بالأرباح
تشارك حسابات التوفير بحملات التوفير و الجوائز عند اطلاق أي حملة لحسابات التوفير
يمكنك من الاستفادة من البطاقة الائتمانية
يمكنك ايضا من الاستفادة من بطاقة المشتريات لعمليات الشراء من الانترنت و محليا
يمكنك من استخدام الخدمات الالكترونية مثل الانترنت البنكي و التطبيق البنكي
يمكن الاستفادة من شبكة فروع ومكاتب البنك في إدارة الحساب والتحكم به
يساعد حساب التوفير العملاء على التخطيط وإدارة اموالهم بفاعلية اكبر
خاضع لأحكام الشريعة الاسلامية"
https://aib.ps/content/business-services/71.html,حسابات التوفير - شروط فتح الحساب:,"الافراد - أن يكون الشخص الذي يرغب بفتح الحساب يحمل بطاقة الهوية و عمره يتجاوز ال 18 سنه، و في حالة كان العمر اقل من 18 سنة يمكن فتح حساب من خلال ولي الامر بوصاية من خلال التوجه للفرع مباشره لاستكمال اجراءات فتح الحساب
المؤسسات – ان تكون المؤسسة (الشخصية الاعتبارية) مستوفية شروط الترخص من الجهات المعنية وفق احكام القانون و يوضح المفوضين بالتوقيع و يتم فتح الحساب بحضورهم للبنك مباشره و استكمال اجراءات فتح الحساب بالنسبة لفاتح الحساب لعدة اشخاص إما أن يكون عدة أشخاص طبيعيين يتعاملون مع البنك بأسمائهم الصريحة أو بأسماء تجارية مسجلة وفق أحكام القانون"
https://aib.ps/content/business-services/701.html,يهدف البرنامج الى تمويل ودعم المشاريع الصديقة للبيئة,يهدف البرنامج الى تمويل ودعم المشاريع الصديقة للبيئة والتي تمكن الافراد أصحاب المشاريع والشركات من الحصول على تمويلات خاصة بترشيد استهلاك الطاقة ومشاريع الطاقة المتجددة وذلك تماشياً مع التوجهات العالمية لاستغلال الطاقة المتجددة لتقليل مخاطر الوقود والمحروقات على الانسان والبيئة، ولتخفيض التكاليف المرتبطة بها وبما يعزز اهداف ومبادئ الاستدامة، وهي منحة مقدمة من الاتحاد الأوروبي للشعب الفلسطيني من خلال جمعية برباركو الفرنسية.
https://aib.ps/content/business-services/79.html,تمويل المشاريع الصغيرة والمتوسطة,ينظر البنك الإسلامي العربي إلى قطاع المشاريع الصغيرة والمتوسطة على أنه من أهم القطاعات الاقتصادية الواعدة في فلسطين، حيث يمتلك هذا القطاع مستقبلاً واعداً وقدرة كبيرة على المساهمة في تنمية الاقتصاد الفلسطيني بشكل عام. ومن هنا، تأتي أهمية وجود برنامج تمويل المشاريع الصغيرة والمتوسطة في البنك الإسلامي العربي، الذي يسعى إلى توفير الفرصة للحصول على التمويل اللازم والاستشارات المناسبة لهذه الشريحة الواسعة. يقدم البنك مجموعة من الخدمات المصرفية والتمويلية المتوافقة مع تعاليم الشريعة الإسلامية، والتي تتميز بالمرونة والتنوع لتتمكن من تلبية احتياجات مختلف مجالات عمل تلك المشاريع. يهدف البنك من خلال هذا البرنامج إلى دعم رواد الأعمال وتعزيز نمو مشاريعهم، مما يسهم في خلق فرص عمل جديدة وتحقيق التنمية الاقتصادية المستدامة في فلسطين.
