url,title,text
https://aib.ps/content/individual-services/13.html,حسابات التوفير,حساب توفير يلبي احتياجات العملاء و رغباتهم و يتمتع ببساطته من حيث آلية فتح الحساب و متطلباته مما يجعل عملية الادخار سهلة و تجربة ممتعة من حيث استخدام الخدمات الالكترونية للتحكم بالحساب من خلال الانترنت البنكي و التطبيق البنكي، بالإضافة الى ان حساب التوفير هو خاضع لشروط احكام الشريعة الإسلامية
https://aib.ps/content/individual-services/13.html,حسابات التوفير - مزايا الحساب,"تشارك حسابات التوفير بالأرباح
تشارك حسابات التوفير بحملات التوفير و الجوائز عند اطلاق أي حملة لحسابات التوفير
يمكنك من الاستفادة من البطاقة الائتمانية
يمكنك أيضا من الاستفادة من بطاقة المشتريات لعمليات الشراء من الانترنت و محليا
يمكنك من استخدام الخدمات الالكترونية مثل الانترنت البنكي و التطبيق البنكي
يمكن الاستفادة من شبكة فروع ومكاتب البنك في إدارة الحساب والتحكم به
يساعد حساب التوفير العملاء على التخطيط وإدارة أموالهم بفاعلية اكبر
خاضع لأحكام الشريعة الإسلامية"
https://aib.ps/content/individual-services/13.html,حسابات التوفير - شروط فتح الحساب:,"الافراد - أن يكون الشخص الذي يرغب بفتح الحساب يحمل بطاقة الهوية و عمره يتجاوز ال 18 سنه، و في حالة كان العمر اقل من 18 سنة يمكن فتح حساب من خلال ولي الامر بوصاية من خلال التوجه للفرع مباشره لاستكمال إجراءات فتح الحساب
المؤسسات – ان تكون المؤسسة (الشخصية الاعتبارية) مستوفية شروط الترخص من الجهات المعنية وفق احكام القانون و يوضح المفوضين بالتوقيع و يتم فتح الحساب بحضورهم للبنك مباشره و استكمال إجراءات فتح الحساب بالنسبة لفاتح الحساب لعدة اشخاص إما أن يكون عدة أشخاص طبيعيين يتعاملون مع البنك بأسمائهم الصريحة أو بأسماء تجارية مسجلة وفق أحكام القانون"
https://aib.ps/content/individual-services/11.html,الحسابات الجارية,"تحكّم بأموالك بفاعلية وسهولة!
يمنحك الحساب الجاري من البنك الإسلامي العربي القدرة على إدارة أموالك بسهولة ويسر، من خلال عمليات السحب والإيداع عبر الصرافات الآلية المنتشرة والفروع والخدمات الإلكترونية ويمنحك الحساب ميزات متعددة ."
https://aib.ps/content/individual-services/11.html,الحسابات الجارية - المزايا الرئيسية,"امكانية الدخول الى حسابك في أي وقت ومن أي مكان من خلال خدمة الصيرفة الإلكترونية.
رسائل قصيرة مجانية بإشعارات عن جميع الحركات المصرفية على الحساب.
الحصول على دفتر شيكات.
الحساب متوفر بجميع العملات.
تسديد فواتير الخدمات العامة (ماء، كهرباء، اتصالات، جوال، وطنية موبايل، حضارة)
إمكانية تحويل الراتب الى الحساب الجاري."
https://aib.ps/content/individual-services/11.html,الحسابات الجارية - شروط فتح الحساب,"يحق للجميع فتح حساب عند بلوغ السن القانوني ( 18 عاماً)
ضرورة إبراز البطاقة الشخصية عند فتح الحساب
ضرورة اثبات طبيعة العمل لمدير الفرع"
https://aib.ps/content/individual-services/11.html,الحسابات الجارية - الحكم الشرعي والأرباح,
https://aib.ps/content/individual-services/718.html,حساب الودائع الاجلة,"عن طريق الاستثمار في حساب الوديعة لأجل من البنك الإسلامي العربي، يمكنك زيادة مدخراتك من خلال الحصول على عائد ربحي على وديعتك ووفقاً لأحكام الشريعة الإسلامية  حيث يقوم هذا الحساب الاستثماري على صيغة المضاربة.
"
https://aib.ps/content/individual-services/9.html,حسابات الشمول المالي,حساب مصرفي يتم من خلاله تقديم الخدمات المصرفية الأساسية للفئة المستهدفة
https://aib.ps/content/individual-services/9.html,حسابات الشمول المالي - الفئات المستفيدة,"الايداع والسحب النقدي المباشر وإيداع الشيكات للتحصيل.
الإيداع والسحب النقدي من خلال الصراف الألي.
الخدمات المصرفية عبر الإنترنت.
تسديد الفواتير ألياً من الحساب.
إصدار وإستقبال الأموال داخلياً وخارجياً.
بطاقة صراف ألي."
